step,train_loss,train_acc,val_loss,val_acc,lr,tokens_seen
1,10.9791,0.0001,,,1.200000e-06,1572864
2,10.9127,0.0001,,,2.400000e-06,3145728
3,10.7886,0.0003,,,3.600000e-06,4718592
4,10.6180,0.0138,,,4.800000e-06,6291456
5,10.4387,0.0397,,,6.000000e-06,7864320
6,10.2703,0.0420,,,7.200000e-06,9437184
7,10.1332,0.0434,,,8.400000e-06,11010048
1,11.0212,0.0000,,,1.200000e-06,1572864
2,10.9598,0.0000,,,2.400000e-06,3145728
3,10.8410,0.0001,,,3.600000e-06,4718592
4,10.6807,0.0021,,,4.800000e-06,6291456
5,10.5111,0.0281,,,6.000000e-06,7864320
6,10.3571,0.0401,,,7.200000e-06,9437184
1,10.9602,0.0000,,,1.200000e-06,786432
2,10.8984,0.0000,,,2.400000e-06,1572864
1,10.9769,0.0000,,,1.200000e-06,1572864
